,ADDRESS,BLK_NO,BUILDING,LATITUDE,LONGITUDE,POSTAL,ROAD_NAME,X,Y
101891, 28 JALAN REBANA FABER GARDEN SINGAPORE 576998 ,28,FABER GARDEN,1.362273,103.828535,576998,JALAN REBANA,27467.5964,38258.69882
15850, 247 JALAN BESAR PETAIN ROAD/TYRWHITT ROAD CONSERVATION AREA SINGAPORE 208920 ,247,PETAIN ROAD/TYRWHITT ROAD CONSERVATION AREA,1.309886,103.857998,208920,JALAN BESAR,30746.59603,32466.10102
105955, 18 TOH YI DRIVE DBS TOH YI DRIVE SINGAPORE 590018 ,18,DBS TOH YI DRIVE,1.339997,103.772961,590018,TOH YI DRIVE,21282.82239,35795.69461
1110, 17A SOUTH BRIDGE ROAD BOAT QUAY CONSERVATION AREA SINGAPORE 058659 ,17A,BOAT QUAY CONSERVATION AREA,1.288204,103.848941,58659,SOUTH BRIDGE ROAD,29738.60501,30068.60439
48615, 914 SIMS AVENUE PARC ESTA SINGAPORE 408973 ,914,PARC ESTA,1.31819,103.902208,408973,SIMS AVENUE,35666.72761,33384.35204
113117, 77 TUAS VIEW WALK 1 SINGAPORE 637618 ,77,NIL,1.30038,103.627579,637618,TUAS VIEW WALK 1,5102.95386,31415.84769
6733, 343A PASIR PANJANG ROAD SINGAPORE 118678 ,343A,NIL,1.288925,103.776453,118678,PASIR PANJANG ROAD,21671.38194,30148.35308
120050, 11 ALMOND CRESCENT MERA GARDENS SINGAPORE 677774 ,11,MERA GARDENS,1.373714,103.771815,677774,ALMOND CRESCENT,21155.39812,39523.96583
57932, 390B EAST COAST ROAD SINGAPORE 428991 ,390B,NIL,1.308629,103.911645,428991,EAST COAST ROAD,36717.04571,32327.20191
81538, 61J PAYA LEBAR CRESCENT TRUSSVILLE SINGAPORE 534218 ,61J,TRUSSVILLE,1.349404,103.884262,534218,PAYA LEBAR CRESCENT,33669.40553,36835.80112
109010, 20A CHEONG CHIN NAM ROAD SINGAPORE 599744 ,20A,NIL,1.343508,103.77506,599744,CHEONG CHIN NAM ROAD,21516.4359,36183.8546
95290, 6 CHUAN TERRACE CHUAN TERRACE SINGAPORE 558474 ,6,CHUAN TERRACE,1.362869,103.867436,558474,CHUAN TERRACE,31796.86828,38324.66892
5933, 20 PASIR PANJANG ROAD MAPLETREE BUSINESS CITY SINGAPORE 117439 ,20,MAPLETREE BUSINESS CITY,1.274827,103.799065,117439,PASIR PANJANG ROAD,24187.82661,28589.49299
45255, 33B LORONG 17 GEYLANG SINGAPORE 388557 ,33B,NIL,1.313722,103.878531,388557,LORONG 17 GEYLANG,33031.72089,32890.2408
118038, 34 BURGUNDY CRESCENT BURGUNDY HILL SINGAPORE 658747 ,34,BURGUNDY HILL,1.340024,103.760699,658747,BURGUNDY CRESCENT,19918.18635,35798.70637
126387, 14 ASHWOOD GROVE SINGAPORE 739960 ,14,NIL,1.42875,103.776447,739960,ASHWOOD GROVE,21671.02966,45609.5495
28283, 48 MOUNT SINAI ROAD HENRY PARK SINGAPORE 276876 ,48,HENRY PARK,1.313682,103.785117,276876,MOUNT SINAI ROAD,22635.60894,32885.81959
79386, 522B TAMPINES CENTRAL 7 TAMPINES GREENLEAF SINGAPORE 522522 ,522B,TAMPINES GREENLEAF,1.357823,103.939085,522522,TAMPINES CENTRAL 7,39770.56569,37766.91594
34567, 16 ANDREW ROAD SINGAPORE 299950 ,16,NIL,1.338599,103.831589,299950,ANDREW ROAD,27807.4887,35641.04695
42030, 15 JALAN LATEH SINGAPORE 359114 ,15,NIL,1.345268,103.869729,359114,JALAN LATEH,32052.10816,36378.41717
86711, 307C ANCHORVALE ROAD ANCHORVALE PLACE SINGAPORE 543307 ,307C,ANCHORVALE PLACE,1.389901,103.887121,543307,ANCHORVALE ROAD,33987.55618,41313.81716
56091, 189 JOO CHIAT TERRACE SINGAPORE 427335 ,189,NIL,1.315367,103.905267,427335,JOO CHIAT TERRACE,36007.13961,33072.20971
29903, 118 HOLLAND AVENUE RAFFLES HOLLAND V SINGAPORE 278997 ,118,RAFFLES HOLLAND V,1.31053,103.796105,278997,HOLLAND AVENUE,23858.50198,32537.27307
129139, 290 YISHUN STREET 22 DBS YISHUN NORTH BRANCH SINGAPORE 760290 ,290,DBS YISHUN NORTH BRANCH,1.436036,103.836246,760290,YISHUN STREET 22,28325.8199,46415.13449
83270, 1D NEW INDUSTRIAL ROAD TIMES CENTRE SINGAPORE 536196 ,1D,TIMES CENTRE,1.342215,103.884755,536196,NEW INDUSTRIAL ROAD,33724.3267,36040.8812
33438, 512 THOMSON ROAD THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD SINGAPORE 298136 ,512,THE LITTLE SKOOL-HOUSE INTERNATIONAL PTE LTD,1.333665,103.839419,298136,THOMSON ROAD,28678.93031,35095.4466
63436, 23 NORMA TERRACE OPERA ESTATE SINGAPORE 456564 ,23,OPERA ESTATE,1.320655,103.925277,456564,NORMA TERRACE,38234.09728,33657.06485
123330, 11 NEO TIEW LANE 3 SINGAPORE 718786 ,11,NIL,1.425914,103.724429,718786,NEO TIEW LANE 3,15882.23709,45296.11403
80458, 374 HOUGANG STREET 31 HDB-HOUGANG SINGAPORE 530374 ,374,HDB-HOUGANG,1.362869,103.889828,530374,HOUGANG STREET 31,34288.88047,38324.74562
137529, 56 SUNRISE WALK SUNRISE VILLA SINGAPORE 806330 ,56,SUNRISE VILLA,1.389193,103.854429,806330,SUNRISE WALK,30349.36146,41235.37483
97671, 44 YIO CHU KANG GARDENS CHIP THYE GARDEN SINGAPORE 568091 ,44,CHIP THYE GARDEN,1.381522,103.837666,568091,YIO CHU KANG GARDENS,28483.77622,40387.18209
100983, 71 SEMBAWANG HILLS DRIVE THOMSON HILLS ESTATE SINGAPORE 575928 ,71,THOMSON HILLS ESTATE,1.375446,103.831493,575928,SEMBAWANG HILLS DRIVE,27796.87747,39715.36025
120409, 20 JALAN UJI SINGAPORE 678374 ,20,NIL,1.35794,103.769247,678374,JALAN UJI,20869.59105,37779.69965
29368, 18 JALAN KEBAYA HOLLAND GROVE PARK SINGAPORE 278309 ,18,HOLLAND GROVE PARK,1.314555,103.779163,278309,JALAN KEBAYA,21972.95748,32982.37918
87899, 4 TEOW HOCK AVENUE SINGAPORE 545691 ,4,NIL,1.362181,103.879506,545691,TEOW HOCK AVENUE,33140.06499,38248.61413
64275, 44 JALAN KHAIRUDDIN OPERA ESTATE SINGAPORE 457515 ,44,OPERA ESTATE,1.319974,103.922958,457515,JALAN KHAIRUDDIN,37975.98035,33581.70402
109529, 84 TOH GUAN ROAD EAST SINGAPORE 608501 ,84,NIL,1.334936,103.75717,608501,TOH GUAN ROAD EAST,19525.48039,35236.14075
17576, 576 SERANGOON ROAD SINGAPORE 218190 ,576,NIL,1.314663,103.857977,218190,SERANGOON ROAD,30744.26521,32994.26968
3208, 11 TEO HONG ROAD SINGAPORE 088326 ,11,NIL,1.280155,103.840836,88326,TEO HONG ROAD,28836.67454,29178.5187
106155, 13A YUK TONG AVENUE CHUN TIN COURT SINGAPORE 596318 ,13A,CHUN TIN COURT,1.342077,103.774633,596318,YUK TONG AVENUE,21468.9372,36025.62729
